PGD ID	PGD Type	Meteorite	Technique	12C/13C	14N/15N	d(29Si/28Si)	d(30Si/28Si)
SiC-1993-ALE-000143	AB	Krymka	WU 3f	8.5		113.7	112.2
SiC-1993-ALE-000144	M	Krymka	WU 3f	37.0		27.9	20.3
SiC-1993-ALE-000145	M	Krymka	WU 3f	58.7		28.2	23.0
SiC-1993-ALE-000146	M	Krymka	WU 3f	63.2		0.8	31.6
SiC-1993-ALE-000147	M	Krymka	WU 3f	53.7		-8.6	22.5
SiC-1993-ALE-000148	M	Krymka	WU 3f	40.4		34.4	26.8
SiC-1993-ALE-000149	AB	Krymka	WU 3f	2.5		49.0	70.4
SiC-1993-ALE-000150	M	Krymka	WU 3f	61.3		75.5	56.1
SiC-1993-ALE-000151	M	Krymka	WU 3f	66.0		17.2	2.7
SiC-1993-ALE-000152	M	Krymka	WU 3f	29.4		151.2	93.4
SiC-1993-ALE-000153	M	Krymka	WU 3f	91.7		-6.8	-28.8
SiC-1993-ALE-000154	AB	Krymka	WU 3f	2.9		74.6	64.0
SiC-1993-ALE-000155	M	Krymka	WU 3f	44.1		25.3	20.2
SiC-1993-ALE-000156	M	Krymka	WU 3f	43.8		114.2	131.6
SiC-1993-ALE-000157	M	Krymka	WU 3f	69.5		-16.9	-11.0
SiC-1993-ALE-000158	X	Krymka	WU 3f	319.6		-243.7	-459
SiC-1993-ALE-000159	M	Krymka	WU 3f	57.7		21.1	4.9
SiC-1993-ALE-000160	M	Krymka	WU 3f	85.4		-9.6	-12.0
SiC-1993-ALE-000161	M	Krymka	WU 3f	93.2		-34.7	-16.3
SiC-1993-ALE-000162	M	Krymka	WU 3f	88.0		0.8	3.6
SiC-1993-ALE-000163	M	Krymka	WU 3f	94.1		31.0	47.9
SiC-1993-ALE-000164	M	Krymka	WU 3f	73.4		25.8	-9.1
SiC-1993-ALE-000165	M	Krymka	WU 3f	78.1		3.7	4.6
SiC-1993-ALE-000166	M	Krymka	WU 3f	90.9		-2.3	21.2
SiC-1993-ALE-000167	M	Krymka	WU 3f	56.2		-10.7	8.4
SiC-1993-ALE-000168	M	Krymka	WU 3f	61.2		83.9	72.3
SiC-1993-ALE-000169	M	Krymka	WU 3f	52.5		92.3	66.2
SiC-1993-ALE-000170	M	Inman	WU 3f	55.8		46.7	57.4
SiC-1993-ALE-000171	M	Inman	WU 3f	45.4		52.6	34.3
SiC-1993-ALE-000172	M	Inman	WU 3f	42.7		45.1	52.7
SiC-1993-ALE-000173	M	Inman	WU 3f	48.0		24.3	66.6
SiC-1993-ALE-000174	M	Inman	WU 3f	59.4		0.8	54.9
SiC-1993-ALE-000175	M	Inman	WU 3f	44.5		53.1	30.1
SiC-1993-ALE-000176	M	Inman	WU 3f	53.4		44.1	68.2
SiC-1993-ALE-000177	M	Inman	WU 3f	41.7		44.8	80.0
SiC-1993-ALE-000178	M	Inman	WU 3f	47.5		32.3	56.8
SiC-1993-ALE-000179	M	Inman	WU 3f	48.0		77.3	78.3
SiC-1993-ALE-000180	M	Inman	WU 3f	52.1		18.1	1.0
SiC-1993-ALE-000181	M	Inman	WU 3f	63.9		31.7	22.1
SiC-1993-ALE-000182	M	Inman	WU 3f	53.4		41.9	49.8
SiC-1993-ALE-000183	M	Inman	WU 3f	51.3		32.9	45.9
SiC-1993-ALE-000184	M	Inman	WU 3f	54.8		-52.8	-84.9
SiC-1993-ALE-000185	M	Inman	WU 3f	51.6		86.8	64.9
SiC-1993-ALE-000186	M	Inman	WU 3f	20.5		22.2	23.9
SiC-1993-ALE-000187	M	Inman	WU 3f	48.1		-56.6	-31.8
SiC-1993-ALE-000188	M	Inman	WU 3f	54.4		0.9	10.3
SiC-1993-ALE-000189	Z	Inman	WU 3f	57.5		-71.5	17.4
